     Bytes  Real s   CPU s Real-MBit/s  CPU-MBit/s   Calls  Real-C/s   CPU-C/s
l  8388608    6.89    0.02      9.7438   3222.2050    2051    297.79   98477.9
1  8388608    7.01    0.04      9.5742   1864.1351    2049    292.32   56916.7
