     Bytes  Real s   CPU s Real-MBit/s  CPU-MBit/s   Calls  Real-C/s   CPU-C/s
l  8388608   13.79    0.02      4.8656   4194.3040    2051    148.70  128187.5
1  8388608   13.97    0.06      4.8049   1118.4811    2049    146.70   34150.0
