     Bytes  Real s   CPU s Real-MBit/s  CPU-MBit/s   Calls  Real-C/s   CPU-C/s
l   368640    8.90    0.00      0.3313 294912.0000      91     10.22 9100000.0
1  8388608    6.90    0.02      9.7224   4194.3040    2051    297.14  128187.5
