     Bytes  Real s   CPU s Real-MBit/s  CPU-MBit/s   Calls  Real-C/s   CPU-C/s
l   659456    8.95    0.00      0.5892   1318.9120     162     18.09   40500.0
1  8388608    6.90    0.01      9.7275   5592.4053    2051    297.30  170916.7
