     Bytes  Real s   CPU s Real-MBit/s  CPU-MBit/s   Calls  Real-C/s   CPU-C/s
l  8388608    6.97    0.00      9.6316  16777.2160    2048    293.93  512000.0
1  8388608    7.54    0.22      8.9051    299.5931    4009    531.98   17897.3
