     Bytes  Real s   CPU s Real-MBit/s  CPU-MBit/s   Calls  Real-C/s   CPU-C/s
l  8388608    0.88    0.11     76.6703    618.2129    3853   4401.96   35494.2
1  8388608    0.84    0.01     79.5351   5592.4053    2048   2427.22  170666.7
