No.     Time           Source                Destination           Protocol Length Info
     89 14.388485402   192.168.2.219         192.168.2.15          TCP      58     52091 → 81 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     90 14.388488577   192.168.2.219         192.168.2.15          TCP      58     52091 → 33 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     91 14.388491752   192.168.2.219         192.168.2.15          TCP      58     52091 → 90 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     92 14.388496142   192.168.2.219         192.168.2.15          TCP      58     52091 → 38 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     93 14.388499347   192.168.2.219         192.168.2.15          TCP      58     52091 → 9 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     94 14.388502535   192.168.2.219         192.168.2.15          TCP      58     52091 → 29 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     95 14.388505652   192.168.2.219         192.168.2.15          TCP      58     52091 → 84 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     96 14.388509710   192.168.2.219         192.168.2.15          TCP      58     52091 → 42 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     97 14.388513512   192.168.2.219         192.168.2.15          TCP      58     52091 → 48 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     98 14.388516778   192.168.2.219         192.168.2.15          TCP      58     52091 → 97 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     99 14.388519852   192.168.2.219         192.168.2.15          TCP      58     52091 → 91 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    100 14.388667043   192.168.2.219         192.168.2.15          TCP      58     52091 → 49 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    101 14.388672191   192.168.2.219         192.168.2.15          TCP      58     52091 → 4 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    102 14.388673191   192.168.2.219         192.168.2.15          TCP      58     52091 → 65 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    103 14.388674219   192.168.2.219         192.168.2.15          TCP      58     52091 → 35 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
