No.     Time           Source                Destination           Protocol Length Info
     72 13.394132875   192.168.2.219         192.168.2.15          TCP      74     33696 → 73 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
     77 13.394797362   192.168.2.219         192.168.2.15          TCP      74     54240 → 93 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
     78 13.394809665   192.168.2.219         192.168.2.15          TCP      74     43720 → 27 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
     79 13.394817916   192.168.2.219         192.168.2.15          TCP      74     49306 → 3 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
     80 13.394825763   192.168.2.219         192.168.2.15          TCP      74     55504 → 50 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
     81 13.394832823   192.168.2.219         192.168.2.15          TCP      74     56726 → 13 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
     82 13.394840559   192.168.2.219         192.168.2.15          TCP      74     40142 → 41 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
     83 13.394848715   192.168.2.219         192.168.2.15          TCP      74     58464 → 74 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
     84 13.394857093   192.168.2.219         192.168.2.15          TCP      74     33620 → 69 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
     96 13.395797209   192.168.2.219         192.168.2.15          TCP      74     43962 → 31 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
     97 13.395808477   192.168.2.219         192.168.2.15          TCP      74     37452 → 48 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
     98 13.395815720   192.168.2.219         192.168.2.15          TCP      74     49916 → 33 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
     99 13.395822800   192.168.2.219         192.168.2.15          TCP      74     40338 → 9 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    100 13.395829542   192.168.2.219         192.168.2.15          TCP      74     33342 → 86 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    101 13.395837014   192.168.2.219         192.168.2.15          TCP      74     49128 → 4 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    102 13.395844632   192.168.2.219         192.168.2.15          TCP      74     42872 → 30 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    103 13.395851795   192.168.2.219         192.168.2.15          TCP      74     34718 → 97 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    104 13.395858902   192.168.2.219         192.168.2.15          TCP      74     37372 → 47 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    105 13.395865639   192.168.2.219         192.168.2.15          TCP      74     32916 → 100 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    106 13.395872433   192.168.2.219         192.168.2.15          TCP      74     34842 → 77 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    107 13.395879537   192.168.2.219         192.168.2.15          TCP      74     54052 → 65 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
    108 13.395887139   192.168.2.219         192.168.2.15          TCP      74     55334 → 67 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632805 TSecr=0 WS=128
